Q#,Skill,Scenario,Option A,Option B,Option C,Option D
1,"I can choose the right AI tool or platform for a specific task, explain why, and also explain when and why I might not use it.",A colleague asks you to help them pick an AI tool for summarizing student discussion posts in a 200-person course. What would you do?,"I'd ask what they're trying to get out of the summaries, then suggest a couple of AI tools I've used for similar tasks and explain the trade-offs between them.","I'd compare a few options — like an LMS-integrated bot versus a general-purpose model — and weigh factors like data privacy, whether the tool has been through VITRA, and how well it handles longer inputs.",I'm not really sure which tools are available for something like that — I'd need to look into it before I could help.,I'd suggest they try ChatGPT since it's the one I've heard of most — it seems like it can do everything.
2,I can use iterative back-and-forth conversations with AI to brainstorm and explore new ideas while countering its anchoring bias.,"You're using AI to brainstorm assessment ideas for a new course. After your first prompt, the AI gives you five suggestions that all look similar. What do you do next?",I haven't really used AI to brainstorm — I'm not sure how you'd have a back-and-forth conversation with it.,"I'd try rephrasing my prompt to be more specific about what I want, and ask it to try again with more variety.",I'd take those five ideas and pick the best one — the AI usually gets it right on the first try.,"I'd push back and ask it to generate ideas that are fundamentally different from its first set — maybe by assigning it a different perspective, using a constraint like 'no written exams,' or asking it to challenge its own assumptions to break out of the anchoring pattern."
3,"I can research a topic with AI tools and independently verify that the sources it points to are real, authoritative, and accurately represented.","You ask an AI tool to find recent research on active learning in large lecture courses. It returns a paragraph citing three journal articles with authors, dates, and findings. What's your next step?","I'd skim the citations to see if the journal names and dates look reasonable. If they seem legit, I'd use them.",I haven't tried using AI for research tasks yet.,"If the AI included citations, I'd assume it found them somewhere — that's the whole point of using it for research.",I'd check that the articles actually exist — search for each one by title and author in a database like Google Scholar or ERIC — because AI tools sometimes generate plausible-looking citations that are completely fabricated.
4,"I can apply fact-checking techniques to AI-generated claims and reasoning to catch hallucinations, subtle errors, and confident-but-wrong outputs.","An AI tool confidently tells you that a specific university adopted a 'no-AI' policy in 2024, and it includes what looks like a quote from the provost. You plan to reference this in a presentation. How do you handle it?",I'd do a quick web search to see if the policy and quote check out before including it.,"If the AI provided that level of detail — a specific university, a year, a quote — it probably found it somewhere. I'd use it.","I'd use a structured evaluation approach — check the claim against the university's actual policy page, verify the quote exists in a primary source, and assess whether the AI might have conflated multiple institutions or fabricated details that sound plausible.",I'm not familiar enough with AI outputs to know what would need checking.
5,"I can critically edit and refine AI-generated content — both on my own and working with AI — so it matches my voice, standards, and accuracy.","You used AI to draft a welcome message for your online course. The content is accurate but reads like a corporate press release — formal, generic, and not in your voice. What do you do?","I'd feed it back to the AI with specific instructions — maybe paste in a sample of my own writing as a style reference, ask it to match that tone, then review the revision and manually adjust anything that still doesn't sound like me.","I'd probably just use it as-is — getting the content right is the main thing, and I can always tweak the tone later.","I haven't used AI to write anything yet, so I'm not sure what the output would look like.","I'd rewrite the parts that feel off by hand, since I know my voice better than the AI does."
6,I can build and deploy simple AI agents to automate a workflow or assist in problem-solving.,"Your team handles the same 5-step process every time a new adjunct instructor is onboarded — sending resources, checking for prerequisites, scheduling orientation. Someone suggests AI could help. What's your reaction?","I'd look into whether there's a tool that could automate parts of it, like sending a templated email or creating a checklist — but I'd want someone to walk me through the setup.",I've heard the term 'AI agent' but I'm not clear on what it actually means or how it's different from regular AI.,I'm not sure how AI would handle a multi-step process like that — I think of it more as a tool you ask questions to.,"I could see setting up an AI agent for that — I'd define the goal, map out the steps it would need to handle, give it access to the right tools (email, calendar, checklist), and build in a human checkpoint before it sends anything to the new hire."
7,I can analyze simple datasets using AI in everyday tools while applying data privacy best practices.,You have a spreadsheet of end-of-course survey results — 500 rows of Likert ratings and open-ended comments. You want to find patterns. How would you approach this?,I'd probably just sort and filter the spreadsheet manually — I haven't thought about using AI for data analysis.,"I might paste some of the comments into ChatGPT to see if it can find themes, though I'd want to remove any student names first.",I'd use an AI-integrated tool like Copilot in Excel or Gemini in Sheets to summarize trends in the ratings and cluster themes in the comments — but I'd first make sure the data is de-identified and I'm not uploading anything with student names or IDs to a tool that hasn't been approved for student data.,I'm not sure how AI could help with a spreadsheet.
8,"I can create professional visuals, slides, diagrams, or syntheses using AI tools, while recognizing their limitations.",You need to create a visual diagram showing how three different AI tools compare for a faculty workshop. How would you approach it?,I'd try asking an AI tool to create it and see what comes out — I know tools like that exist but I haven't used them much for visuals yet.,I didn't know AI could create visuals or diagrams.,"I'd use an AI tool to generate a first draft of the diagram — maybe describe the comparison in a prompt and have it produce a visual — but I'd expect to need to refine it manually, because AI-generated visuals often get labels wrong, oversimplify relationships, or produce layouts that don't quite communicate what I intended.",I'd make it myself in PowerPoint or Canva — I wouldn't think to use AI for a diagram.
9,I can disclose and attribute AI assistance according to policies and best practices.,You used AI to help draft a grant proposal section. A colleague asks whether you need to mention that anywhere. What do you say?,"It depends on the context — I'd check the funder's policy on AI use, follow any institutional disclosure requirements, and add a note in the methods or acknowledgments describing what AI assisted with and how I verified the content. Different contexts have different norms, and they're changing fast.",I hadn't thought about that — does it really matter if AI just helped with the writing?,I think you're supposed to mention it somewhere — maybe a footnote or acknowledgment — but I'm not sure exactly what the rules are.,I'm not aware of any policies about disclosing AI use.
10,"I can discuss AI's possibilities, challenges, biases, limitations, and potential pitfalls, and how they apply to how I use it.","A faculty member in your department says, 'AI is going to replace the need for students to learn to write.' You're in a meeting and people look to you for a response. What do you say?",I'd probably agree or disagree but I'm not sure I could give a nuanced answer about AI's limitations on the spot.,I don't feel informed enough about AI to weigh in on a question like that.,"I'd push back thoughtfully — AI changes what writing looks like in practice, but the cognitive skills behind writing (analysis, argumentation, synthesis) still matter. I'd also note that AI outputs carry biases from training data, can't reliably reason about novel arguments, and that over-reliance creates fragility. The real question is how we redesign writing assignments so they develop thinking AI can't replace.","I'd say it's more complicated than that — AI can help with writing, but it also makes mistakes and can be biased. Students still need to learn how to think critically about what it produces."
