Phase,Seq,Topic / Concept,Level,Modality,Source,Item,Link,Purpose for the learner,ID Guidance,Maynard Skills,Specific Location
0. Welcome & orient,1,About this course,Foundational,Reading,Canvas,About this course,https://canvas.asu.edu/courses/157584/pages/about-this-course,Understand what this course is and who it's for.,Send learners here on day 1 — sets expectations before any content.,13,Canvas page: about-this-course
0. Welcome & orient,2,How to use this course,Foundational,Reading,Canvas,How to use this course,https://canvas.asu.edu/courses/157584/pages/how-to-use-this-course,"Learn how to navigate Knowledge Checks, Guided Practice, and Create-an-Artifact activities.",Pair with the previous row; together they handle orientation.,13,Canvas page: how-to-use-this-course
0. Welcome & orient,3,AI Creative Learning Lab,Foundational,Hub page,LX ASU AI,AI Creative Learning Lab — Overview,https://lx.asu.edu/ai,See ASU's broader AI ecosystem and where this course fits.,Use as a 'home base' learners can return to anytime.,"11, 13",AI Creative Learning Lab overview page
0. Welcome & orient,4,Course Glossary,Foundational,Reference,Canvas,Course Glossary of key terms,https://canvas.asu.edu/courses/157584/pages/look-up-key-terms-in-the-course-glossary-2,Bookmark vocabulary for lookup throughout the course.,DO NOT use this to teach — it is a lookup. Re-link from every later phase as a reference.,13,Canvas page: look-up-key-terms-in-the-course-glossary-2
1. What is GenAI?,5,Intro to Generative AI,Foundational,Video,LX ASU AI,Intro to Generative AI (video),https://lx.asu.edu/ai/foundations,First exposure — a short narrated video that demystifies GenAI.,Best opening asset for a true newcomer. Lowest cognitive load.,10,"Foundations page, 'Intro to Generative AI' section; Video: https://www.youtube.com/watch?v=gqoi5jme188"
1. What is GenAI?,6,Module 1 / Overview,Foundational,Interactive lesson,Articulate Rise,Module 1: Fundamentals of Generative AI – Overview – Fundamentals of Generative AI,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XiDuial6n3OEWUwXuc4n5UiKh0Wbhb-S,Walk through the Fundamentals lesson with inline activities.,Use after the video for active engagement.,10,"Module 1: Fundamentals of Generative AI, section: Overview – Fundamentals of Generative AI"
1. What is GenAI?,7,Traditional AI vs Generative AI,Foundational,Reading,PDF,Traditional AI vs Generative AI,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,"Crisp written contrast: traditional AI perceives/reasons, GenAI generates.",Use for learners who prefer text and want a definitional anchor.,10,PDF page 1
1. What is GenAI?,8,Four Layers of AI Evolution,Foundational,Reading,PDF,Four Layers of AI Evolution,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Place GenAI in context: AI → ML → Deep Learning → GenAI.,Helps learners who keep confusing 'AI' with 'ChatGPT'.,10,PDF page 1
1. What is GenAI?,9,Module 1 / value of generative,Foundational,Lesson section,Articulate Rise,Module 1: Fundamentals of Generative AI – The value of generative AI,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/_JUEDXqbtW3zJB6i7mWkFF3uDOOmalas,Why GenAI matters for educators — relevance and motivation.,Use to answer the 'why should I care?' question early.,10,"Module 1: Fundamentals of Generative AI, section: The value of generative AI"
1. What is GenAI?,10,Faculty panel,Foundational,Video stories,Canvas,Faculty panel: voices on GenAI in teaching,https://canvas.asu.edu/courses/157584/pages/meet-our-panel,Hear ASU faculty describe how they're using GenAI in their own classes.,Critical 'people like me' moment — reduces intimidation before any hands-on work.,"5, 10",Canvas page: meet-our-panel
2. How it works (lightly),11,How AI Systems Work,Foundational,Reading,AI-X Framework,How AI Systems Work,https://aix-framework.lei-tech.org/aix-toolkit/how-ai-works,Plain-language explanation of how AI systems function.,"Foundational rung — keep it conceptual, no jargon.",10,Toolkit → Challenge → How AI Systems Work
2. How it works (lightly),12,Tokenization,Intermediate,Reading,PDF,Tokenization: how GenAI works,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Models predict tokens one at a time — the mechanism behind output.,Introduce after learners have seen a tool work; otherwise it's abstract.,10,PDF page 1
2. How it works (lightly),13,probability engine,Intermediate,Reading,PDF,Key mindset shift: probability engine,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,"Mindset shift: GenAI predicts tokens, not concepts. You are the QA.",Most important conceptual reframing — sets up trust-and-verify in Phase 5.,"4, 10",PDF page 1
2. How it works (lightly),14,Differentiate GPT vs LLM,Intermediate,Reading,Canvas,Differentiate GPT vs LLM,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Distinguish a GPT (a specific model) from an LLM (the broader category).,Use after the mechanism intro — terminology only sticks once mechanism is concrete.,10,Canvas page: module-1-overview-3
