Canonical Topic,Level,# Sources,Canvas,Articulate Rise,PDF,AI-X Framework,LX ASU AI,Recommended Primary,Differentiator Notes
AI agents: what they are & when to use,Advanced,2,,,AI progression: prompts → agents (+3),,Building Custom Bots and AI Agents,PDF,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
ASU policy: VITRA & approved tools,Intermediate,2,Vendor IT Risk Assessment (VITRA),,,,AI Tools at ASU (+1),Canvas,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Accessibility of AI tools,Intermediate,1,,,,Accessibility Guide,,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
"Advanced prompting (few-shot, CoT, role, RACCCA)",Advanced,3,Apply RACCCA evaluation method,Module 5: Evaluating Outputs – RACCCA: evaluating AI output,Chain of Thought,,,PDF,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
Automation strategy & prioritization,Advanced,2,,Module 6: Integrating GenAI into Teaching – Streamlining lesson planning with AI,Automation Journey (5 steps) (+2),,,PDF,Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
"Bias, fairness & responsible use",Advanced,3,Ethical AI key terms (+3),Module 3: Ethics & Responsible Use – Overview – Ethics & Responsible Use (+7),,Principled Innovation,,AI-X Framework,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
Course orientation / how to use,Foundational,3,About this course (+1),,,AI-X Toolkit overview,Support & Community,Canvas,"AI-X Framework: Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool. | LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Defining the learning challenge,Intermediate,1,,,,Challenge: Getting Started (+2),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Designing AI-enhanced assignments,Intermediate,1,,,,,AI-Enhanced Assignments,LX ASU AI,"Only in LX ASU AI. ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
"Hallucinations, accuracy & evaluating output",Advanced,3,Evaluating and revising prompts iteratively (+2),Module 5: Evaluating Outputs – Overview – Evaluating Outputs (+3),,Sense-Making Ethical Evaluation,,AI-X Framework,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
