Skill #,Level-Up Band,Activity Title,Step #,Instruction
1,Foundational → Intermediate,Tool Selection Matrix,1,"Read the three scenarios below and open a blank document for your matrix:
• Scenario A: You need to generate 20 multiple-choice quiz questions from a textbook chapter.
• Scenario B: You need to summarize 15 student discussion posts into key themes.
• Scenario C: You need to draft personalized feedback on student presentations."
1,Foundational → Intermediate,Tool Selection Matrix,2,"For each scenario, consider which AI tool fits best. Think about: Does the tool handle long inputs? Does it need to see files? Is student data involved (VITRA)?"
1,Foundational → Intermediate,Tool Selection Matrix,3,"Fill in your matrix: rows = scenarios, columns = Recommended Tool, Why This Tool, One Limitation."
1,Foundational → Intermediate,Tool Selection Matrix,4,"For at least one scenario, actually try the task in your recommended tool. Does reality match your prediction?"
1,Foundational → Intermediate,Tool Selection Matrix,5,Revise your matrix based on what you learned from the test run.
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,1,Identify one AI tool your department is considering adopting or that you've been asked about.
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,2,"Check its VITRA status: go to ASU's tool approval page (or ask your IT liaison) and document whether it's approved, under review, or not yet submitted."
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,3,"Test the tool on a representative task from your actual workflow. Note output quality, ease of use, and any limitations."
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,4,"Evaluate data handling: What does the tool's privacy policy say about data storage, training, and sharing? Would you be comfortable putting student data in it?"
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,5,Check accessibility: Can it be used with a screen reader? Does it have keyboard navigation? Is the output accessible?
1,Intermediate → Advanced,Tool Audit & Recommendation Brief,6,"Write your one-page brief: Purpose, Tool Evaluated, VITRA Status, Strengths (with evidence), Risks (with evidence), Recommendation (adopt / pilot / wait / reject)."
1,New → Foundational,AI Tool Safari,1,"Open three AI tools you have access to at ASU (start with ASU's ChatGPT, then try Microsoft Copilot, and Google Gemini)."
1,New → Foundational,AI Tool Safari,2,Write one simple prompt and copy it exactly: 'Write a 3-sentence explanation of active learning suitable for a course syllabus.'
1,New → Foundational,AI Tool Safari,3,Paste that same prompt into each tool. Do not modify it.
1,New → Foundational,AI Tool Safari,4,"For each response, note: How long is it? What tone does it use? Does it follow the 3-sentence constraint? Does it feel accurate?"
1,New → Foundational,AI Tool Safari,5,Write a short comparison (a few bullet points per tool): What did each one do well? What surprised you?
1,New → Foundational,AI Tool Safari,6,Pick the one you'd use again for this type of task and write one sentence explaining why.
2,Foundational → Intermediate,The Anchoring Breaker,1,"Pick a real design problem you're working on (e.g., 'I need a new final project for my intro course')."
2,Foundational → Intermediate,The Anchoring Breaker,2,Prompt the AI to brainstorm 5 ideas. Copy them into a document labeled 'Round 1.'
2,Foundational → Intermediate,The Anchoring Breaker,3,"Now break the anchor. Try one of these moves:
• 'Now pretend you're a student who hates group work. What would you suggest instead?'
• 'Generate 5 more ideas, but none of them can involve technology.'
• 'What would someone who thinks all of these are terrible suggest?'"
2,Foundational → Intermediate,The Anchoring Breaker,4,Copy the new ideas into your doc labeled 'Round 2.'
2,Foundational → Intermediate,The Anchoring Breaker,5,Compare the two rounds side by side. Highlight ideas that only appeared after you broke the anchor.
2,Foundational → Intermediate,The Anchoring Breaker,6,"Write one sentence: which round was more useful, and what does that tell you about how AI defaults work?"
2,Intermediate → Advanced,Structured Divergent Brainstorm,1,"Define your problem clearly in one sentence (e.g., 'I need to redesign my midterm assessment to be AI-resilient')."
2,Intermediate → Advanced,Structured Divergent Brainstorm,2,"Create Prompt 1 — the Student perspective: 'You are a college student taking [course]. What assessment format would challenge you the most and help you learn, even if you had access to AI?'"
2,Intermediate → Advanced,Structured Divergent Brainstorm,3,"Create Prompt 2 — the Skeptic perspective: 'You are a faculty member who believes AI makes traditional assessments meaningless. What would you propose instead, and what are the biggest risks?'"
2,Intermediate → Advanced,Structured Divergent Brainstorm,4,"Create Prompt 3 — Tree of Thought: 'Generate three completely independent approaches to redesigning a midterm assessment for [course] in the age of AI. For each approach, reason through the design logic step by step before proposing the assessment. The three approaches should share no structural similarities.'"
2,Intermediate → Advanced,Structured Divergent Brainstorm,5,Run all three prompts. Copy the outputs into a single document.
2,Intermediate → Advanced,Structured Divergent Brainstorm,6,Synthesize: Which ideas appeared in only one angle? Which tensions surfaced? Build your final shortlist of 2–3 ideas with a rationale for each.
2,New → Foundational,My First AI Conversation,1,"Open your preferred AI tool and pick a topic you know well (e.g., a course you teach, a hobby, your research area)."
2,New → Foundational,My First AI Conversation,2,Write an opening prompt: a question or request about that topic.
2,New → Foundational,My First AI Conversation,3,"After the AI responds, read it carefully and write a follow-up that builds on what it said (don't start a new topic)."
2,New → Foundational,My First AI Conversation,4,"Repeat for 5 total turns. Each time, push the conversation deeper: ask 'why?', request an example, challenge something it said, or ask it to consider a different angle."
