ID,Source,Topic,Summary,Learning Level,Direct Link,Leveling Rationale
1,Canvas,About this course,"Foundational introduction to generative AI for ASU faculty/staff; outlines hands-on, multi-module structure.",Foundational,https://canvas.asu.edu/courses/157584/pages/about-this-course,"Course-overview wrapper, introductory framing"
2,Canvas,How to use this course,"Guidance on selecting modules, pacing, Knowledge Checks, Guided Practice and Create-an-Artifact activities.",Foundational,https://canvas.asu.edu/courses/157584/pages/how-to-use-this-course,Procedural orientation content
3,Canvas,Course Glossary of key terms,Lookup of generative-AI vocabulary used throughout the course.,Foundational,https://canvas.asu.edu/courses/157584/pages/look-up-key-terms-in-the-course-glossary-2,Vocabulary/definitions
4,Canvas,Vendor IT Risk Assessment (VITRA),ASU's required process before installing or integrating any third-party AI software.,Intermediate,https://canvas.asu.edu/courses/157584/pages/the-important-role-of-vendor-it-risk-assessment-vitra,Policy/process knowledge with applied implications
5,Canvas,Syllabus statements for generative AI,Sample/required language for communicating AI policy to students in a syllabus.,Intermediate,https://canvas.asu.edu/courses/157584/pages/syllabus-statements-for-generative-ai,Applied policy authoring
6,Canvas,ASU ChatGPT resources for faculty,How to access and use ASU's enterprise ChatGPT entitlements to maximize teaching efficacy.,Intermediate,https://canvas.asu.edu/courses/157584/pages/maximizing-teaching-efficacy-with-asus-chatgpt-resources,Tool access + applied use
7,Canvas,Faculty panel: voices on GenAI in teaching,Short videos from ASU faculty on how they're integrating generative AI in their courses.,Foundational,https://canvas.asu.edu/courses/157584/pages/meet-our-panel,Awareness/exposure content
8,Canvas,Differentiate GPT vs LLM,Be able to distinguish Generative Pre-Trained Transformers from Large Language Models.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Definitional discrimination
9,Canvas,Use key generative-AI terminology,"Apply core vocabulary (model, prompt, token, parameter, hallucination) accurately.",Foundational,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Vocabulary objective
10,Canvas,Industry uses of generative AI,Identify how generative AI is used across industries and how it may affect future careers.,Intermediate,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Applied awareness across contexts
11,Canvas,Role of generative AI in education,Identify ways generative AI is showing up in educational contexts.,Intermediate,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Contextual application
12,Canvas,Types of generative-AI applications,Identify the categories and use-cases of generative-AI applications.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-2-overview-2,Taxonomy/awareness
13,Canvas,Maintaining awareness of new GenAI tools,Develop a personal practice for keeping up with the rapid pace of new AI applications.,Intermediate,https://canvas.asu.edu/courses/157584/pages/module-2-overview-2,Strategy/practice
14,Canvas,Ideating AI uses for your course,Generate ideas for incorporating GenAI tools into your specific teaching context.,Intermediate,https://canvas.asu.edu/courses/157584/pages/module-2-overview-2,Applied ideation
15,Canvas,Create an artifact with a GenAI tool,Produce a deliverable using a generative-AI application of your choice.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-2-overview-2,Production-level synthesis
16,Canvas,Ethical AI key terms,Define vocabulary around ethical and responsible use of AI.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Definitional
17,Canvas,"Fairness, security, transparency in AI use","Apply considerations of fairness, security, and transparency when using AI.",Intermediate,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Applied principle
18,Canvas,Develop an AI policy/vision,Draft a vision or policy for ethical and responsible AI use in your course or unit.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Synthesis + authoring
19,Canvas,Best-practice AI use selection,Determine which AI best practices are appropriate for a specific use case.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Evaluative judgment
20,Canvas,Industry examples of ethical AI policies,Identify examples of ethical and responsible AI use policies from industry leaders.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Recognition/exposure
21,Canvas,Importance of well-crafted prompts,Explain how prompts shape relevance and quality of AI output.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Conceptual foundation
22,Canvas,Strategies for crafting effective prompts,Apply techniques to create prompts that guide AI toward desired outcomes.,Intermediate,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Applied technique
23,Canvas,Evaluating and revising prompts iteratively,Evaluate prompt effectiveness and revise based on AI responses; understand the iterative nature of prompt engineering.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Iterative evaluation
24,Canvas,Bias and ethics in prompt engineering,Identify bias/fairness/ethics issues in prompts and address them when crafting prompts.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Critical evaluation
25,Canvas,Integrating prompt engineering into practice,Use prompt engineering for assignment building and student communication.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Applied integration
26,Canvas,Key terms for evaluating GenAI outputs,Define vocabulary for evaluating the quality of AI outputs.,Foundational,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Definitional
27,Canvas,Identify hallucinations and bias,"Spot hallucinations, bias, and factual errors in a ChatGPT conversation.",Intermediate,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Diagnostic skill
28,Canvas,Apply RACCCA evaluation method,"Use the RACCCA framework to assess AI output for hallucinations, bias, factuality, and failures.",Advanced,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Framework application
29,Canvas,Risks and limitations of LLMs,"Evaluate impacts, risks, and limitations of Large Language Models.",Advanced,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Critical evaluation
30,Canvas,Strategies for responsible GenAI implementation,Formulate strategies for implementing GenAI responsibly in your course.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Synthesis
31,Canvas,Strategies to integrate GenAI into teaching,"Identify ways to use GenAI tools to stimulate creativity, critical thinking, and personalization.",Advanced,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,Applied integration
32,Canvas,Course design that fosters AI fluency,"Design coursework so students use AI as a learning aid, not a substitute for original work.",Advanced,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,Design synthesis
33,Canvas,"Inclusive, accessible AI assignments",Design assignments leveraging GenAI that are inclusive and accessible.,Advanced,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,Equity-centered design
34,Articulate Rise,Module 1: Fundamentals of Generative AI – Overview – Fundamentals of Generative AI,Section overview introducing the fundamentals lesson.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XiDuial6n3OEWUwXuc4n5UiKh0Wbhb-S,Intro/overview
35,Articulate Rise,Module 1: Fundamentals of Generative AI – Generative AI and the Future,How GenAI is shaping the future of work and learning.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/-mfiuOlF03nEpXfGjYfrpDZJL4RzGHIA,Awareness/forward-looking framing
36,Articulate Rise,Module 1: Fundamentals of Generative AI – Equipping future generations: AI's past,Historical context for AI to inform how we prepare students.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/y3iY6ZxEWGCmwZeq7m_UgTO4NiW5-gK8,Historical overview
37,Articulate Rise,Module 1: Fundamentals of Generative AI – Using GenAI models in the present,Practical look at how GenAI is being used today.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/hdHtteK1L3V5YpD6c2uHlDzli8sPId-u,Current applied use
38,Articulate Rise,Module 1: Fundamentals of Generative AI – The value of generative AI,Why GenAI matters; benefits to learners and educators.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/_JUEDXqbtW3zJB6i7mWkFF3uDOOmalas,Conceptual benefits
39,Articulate Rise,Module 1: Fundamentals of Generative AI – How GenAI is impacting industries,Cross-industry examples of GenAI impact.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XriKI34PBIb_lMmdpfp1PpSYGgPPIXV5,Applied multi-context
40,Articulate Rise,Module 1: Fundamentals of Generative AI – Experimenting with GenAI at ASU,ASU-specific entry points for trying GenAI.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/J4bNGWxtic5oznXuy5BC_gwfhfAMsE1A,Local applied practice
41,Articulate Rise,Module 2: Awareness of GenAI Applications – Overview – Awareness of GenAI Applications,Section overview introducing the applications lesson.,Foundational,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/ckakMVSzSSlFLreJ2_NLWuIR9I2NhDm9,Overview
42,Articulate Rise,Module 2: Awareness of GenAI Applications – Do you know what AI can do?,Survey of GenAI capabilities to calibrate expectations.,Foundational,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/_3dr-VqskB18C8sq3TPuSG2e-zUIxdTC,Capability awareness
43,Articulate Rise,Module 2: Awareness of GenAI Applications – AI applications in industry,How different industries are deploying AI applications.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/dI6UEfZmRlPYiX7hDJikyGLP1ZgMwBCm,Applied multi-context
44,Articulate Rise,Module 2: Awareness of GenAI Applications – Emerging generative AI applications,Newer / fast-moving GenAI tools to know about.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/ix8OPJCMdEnZM1RiDtEjrl_s4uvqCHOu,Emerging tech awareness
