Skill #,Skill,Your Score → Activity For,Activity Title,What You'll Do,Time,What You'll Produce,Linked Phases
1,Choose the right AI tool,New → Foundational,AI Tool Safari,"Explore three different AI tools available at ASU (e.g., ChatGPT, Copilot, Gemini). Give each one the same simple prompt and compare what comes back.",30 min,"A short comparison notes doc: what each tool did well, what surprised you, and which one you'd try again.","3, 6"
1,Choose the right AI tool,Foundational → Intermediate,Tool Selection Matrix,"Given three realistic teaching scenarios (writing quiz questions, summarizing readings, drafting feedback), evaluate which AI tool fits best for each and explain your reasoning.",45 min,"A completed 3×3 matrix with tool name, rationale, and one limitation per choice.","3, 6"
1,Choose the right AI tool,Intermediate → Advanced,Tool Audit & Recommendation Brief,"Audit an AI tool your department is considering. Check its VITRA status, data handling, output quality for your use case, and accessibility. Write a one-page recommendation.",60 min,"A one-page recommendation brief with sections: Purpose, Tool Evaluated, VITRA Status, Strengths, Risks, Recommendation.","3, 6"
2,Iterative conversation & anchoring,New → Foundational,My First AI Conversation,"Have a 5-turn back-and-forth conversation with an AI tool on a topic you know well. After each AI response, ask a follow-up question rather than starting a new topic.",20 min,A screenshot or copy-paste of your 5-turn conversation with a note on what changed between the first and last response.,4
2,Iterative conversation & anchoring,Foundational → Intermediate,The Anchoring Breaker,"Ask an AI to brainstorm 5 ideas for a course activity. Then deliberately push it off its initial direction: assign it a contrarian perspective, add a constraint ('no technology allowed'), or ask 'what would someone who disagrees with all of these suggest?'",30 min,Two lists side by side: the original 5 ideas and the 5 ideas after you broke the anchor. A sentence on which set was more useful and why.,4
2,Iterative conversation & anchoring,Intermediate → Advanced,Structured Divergent Brainstorm,"Use a multi-prompt strategy to brainstorm from 3 different angles on the same problem: (1) ask as a student, (2) ask as a skeptical colleague, (3) ask using a 'Tree of Thought' prompt that forces multiple parallel reasoning paths. Compare what each angle surfaces.",45 min,"A synthesis doc: the 3 prompt angles, what each produced, which ideas only emerged from one angle, and your final shortlist with rationale.",4
3,Research & verify sources,New → Foundational,Source Check Challenge,"Ask an AI tool to recommend 3 articles on a topic you're familiar with. For each one, try to find it using Google Scholar. Note which ones are real and which aren't.",25 min,A simple table: Article title | AI said it was by... | Found it? (Y/N) | What actually exists.,5
3,Research & verify sources,Foundational → Intermediate,The Fabrication Detector,"Ask AI to write a 2-paragraph literature review with citations on a topic in your field. Systematically verify every claim: check each citation exists, confirm the findings match what the AI said, and flag any misrepresentations.",45 min,"An annotated version of the AI paragraph with color-coded markup: green (verified), yellow (partially accurate), red (fabricated or misrepresented).",5
3,Research & verify sources,Intermediate → Advanced,AI-Assisted Research Workflow,Design a repeatable research workflow that uses AI to accelerate literature discovery while building in verification checkpoints. Test it on a real research question and document where the AI added value and where it introduced risk.,90 min,"A one-page workflow diagram with verification gates, plus a worked example showing what the AI found, what you verified, and what you caught.",5
4,Fact-check hallucinations,New → Foundational,Spot the Fake,"Ask an AI to generate 5 'facts' about a topic you know well (your discipline, your city, your institution). Identify which ones are accurate and which are hallucinated. No web searching — use your own knowledge first.",20 min,A list of the 5 claims with your verdict (accurate / suspicious / wrong) and a sentence explaining each call.,5
4,Fact-check hallucinations,Foundational → Intermediate,The Confidence Trap,"Ask an AI a question where you expect it might be wrong (a niche topic, a recent event, or something with common misconceptions). When it answers confidently, apply a 3-step check: (1) Does this match what I know? (2) Can I find a primary source? (3) Does the AI contradict itself if I ask the same question differently?",30 min,"A written walkthrough of your 3-step check showing the original claim, your verification steps, and the outcome.",5
4,Fact-check hallucinations,Intermediate → Advanced,RACCCA in Practice,"Take a real piece of AI-generated content you or a colleague produced for work use. Apply the full RACCCA framework (Relevance, Accuracy, Currency, Credibility, Coverage, Audience) and write an evaluation memo.",60 min,"A structured RACCCA evaluation memo with a score or rating per dimension, specific evidence for each, and a final recommendation (use as-is / revise / discard).",5
5,Edit & refine AI output,New → Foundational,Before & After,Ask an AI to draft a short email or announcement for a real task you have. Read it aloud. Highlight every sentence that doesn't sound like you and rewrite those parts by hand.,20 min,"The original AI draft and your revised version side by side, with a note on what you changed and why.","4, 5"
5,Edit & refine AI output,Foundational → Intermediate,The Style Coach,"Paste a sample of your own writing (an email, a syllabus section) into the AI and ask it to analyze your writing style. Then ask it to redraft its previous output in that style. Compare the revision to your original and manually fix what it still gets wrong.",35 min,"Three versions: the generic AI draft, the style-matched revision, and your final edited version. A note on what the AI captured well and what it couldn't mimic.","4, 5"
5,Edit & refine AI output,Intermediate → Advanced,The Refinement Loop,Use a multi-pass workflow: (1) Generate a first draft with a detailed prompt. (2) Ask the AI to critique its own output against specific criteria you provide. (3) Ask it to revise based on its critique. (4) Do a final manual edit. Document how quality changed at each step.,45 min,"A 4-version progression showing the draft at each stage, with annotations on what improved and what only you (not the AI) could fix.","4, 5"
6,Build & deploy simple agents,New → Foundational,Agent vs. Prompt: What's the Difference?,"Read the PDF section on AI agents (pages 8–9). Then have a conversation with ChatGPT where you ask it to do a simple multi-step task (e.g., 'Plan a 3-day workshop agenda and draft an invitation email'). Note where it handles steps on its own versus where you have to manually guide each step.",30 min,"A short reflection: what the AI handled autonomously, where you had to intervene, and in your own words, what would make this an 'agent' versus just a chat.",9
6,Build & deploy simple agents,Foundational → Intermediate,Design an Agent on Paper,"Pick a repetitive workflow in your role (e.g., reviewing assignment submissions for formatting, generating weekly module summaries). Map it out: what's the goal, what steps does it need, what tools would it access, where does a human need to check in? Don't build it yet — just design it.",45 min,"A one-page agent design doc: Goal, Trigger, Steps (numbered), Tools needed, Human checkpoints, Risks.",9
6,Build & deploy simple agents,Intermediate → Advanced,Build and Test a Simple Agent,"Using a platform you have access to (Claude Projects, Gemini Gems, GPT custom instructions, or similar), actually build a simple agent from your paper design. Give it a system prompt, test it with 3 different inputs, and evaluate whether it stays on-task.",90 min,"The working agent (or its system prompt + config), test logs from 3 inputs, and an evaluation noting where it worked, where it drifted, and what you'd change.",9
7,Analyze data with AI,New → Foundational,AI Meets Your Spreadsheet,"Take a simple, non-sensitive dataset (e.g., a list of course enrollments by semester, a public dataset). Upload or paste it into an AI tool and ask it to describe what it sees — trends, outliers, summary statistics.",25 min,"The AI's summary alongside your own read of the data. A note on what it got right, what it missed, and whether you trust its interpretation.",(gap)
7,Analyze data with AI,Foundational → Intermediate,Theme Finder,Take open-ended survey responses (de-identified) and use an AI tool to cluster them into themes. Provide the AI with explicit instructions about how many themes to look for and what counts as a theme. Compare to your own manual read.,45 min,A comparison table: AI-generated themes vs. your manual themes. A note on which approach found things the other missed.,(gap)
7,Analyze data with AI,Intermediate → Advanced,Privacy-First Data Analysis Workflow,"Design and test a workflow for analyzing student data with AI that includes de-identification steps, tool-approval verification, and an audit trail. Run it on a sample dataset and document each decision point.",75 min,"A reusable workflow checklist: de-identification steps, approved tool verification, prompt used, output review, and audit log template.",(gap)
8,Create visuals with AI,New → Foundational,"Describe It, See It","Pick a concept you teach and describe it to an AI image or diagram tool (e.g., Canva AI, ChatGPT with DALL-E, or a Mermaid diagram generator). See what it produces and note what's usable versus what needs human correction.",25 min,"The AI-generated visual, your description prompt, and a list of what you'd need to fix before using it in a real presentation.",(gap)
8,Create visuals with AI,Foundational → Intermediate,Slide Deck Draft,Use an AI tool to generate a first draft of a 5-slide presentation on a topic you're preparing to teach. Evaluate what it gets right about structure and visual hierarchy and what it misses about your specific audience and content.,40 min,"The AI draft deck alongside your revised version, with notes on what you kept, what you changed, and what the AI couldn't know about your context.",(gap)
8,Create visuals with AI,Intermediate → Advanced,Visual Communication Audit,"Create a complex visual (a comparison infographic or a process diagram) using AI, then systematically audit it: Are labels accurate? Do spatial relationships communicate what you intend? Could it mislead? Is it accessible (color contrast, alt text)?",60 min,"The final visual with an attached audit checklist covering accuracy, clarity, accessibility, and a list of corrections you made post-generation.",(gap)
9,Disclose & attribute AI use,New → Foundational,Find the Policy,Locate ASU's current policy on AI disclosure for faculty work. Then find the disclosure policy for one journal or funder in your field. Write a sentence summarizing what each one requires.,20 min,"A short reference card: ASU policy summary (with link), external policy summary (with link), and one sentence on how they differ.","6, 7"
9,Disclose & attribute AI use,Foundational → Intermediate,Write Your Disclosure Statement,"Draft three different AI disclosure statements for three different contexts: (1) a syllabus, (2) a conference presentation, (3) a grant proposal. Each should describe what AI was used for and how content was verified.",30 min,"Three context-specific disclosure statements you can actually reuse in your work, each 2–3 sentences.","6, 7"
9,Disclose & attribute AI use,Intermediate → Advanced,Disclosure Decision Tree,"Create a reusable decision tree for your team: given the type of work, the audience, and the institutional context, what level of disclosure is appropriate? Include edge cases (e.g., 'AI suggested the structure but I wrote every word' or 'AI generated the first draft and I edited').",45 min,A visual decision tree (or flowchart) with 5+ branches and a brief rationale for each endpoint.,"6, 7"
10,Discuss AI possibilities & limitations,New → Foundational,Three Things AI Can and Can't Do,"Based on your experience so far (even if limited), write down 3 things you think AI can do well and 3 things you think it can't. Then test each claim by actually trying it with an AI tool.",30 min,"A 2-column table (Can do / Can't do) with your predictions, what actually happened when you tested each one, and what surprised you.","1, 2, 5"
10,Discuss AI possibilities & limitations,Foundational → Intermediate,The Nuanced Take,"A colleague makes a strong claim about AI (e.g., 'AI can grade essays just as well as a human'). Draft a 1-paragraph response that acknowledges the kernel of truth, identifies the limitations, and points to a specific bias or risk they haven't considered.",30 min,"Your written 1-paragraph response, plus a short list of the specific limitations and biases you referenced and where you learned about them.","1, 2, 5, 6"
10,Discuss AI possibilities & limitations,Intermediate → Advanced,Lead a Discussion,"Design and facilitate (or simulate) a 15-minute discussion with colleagues on the question: 'What should our department's stance on AI be?' Prepare talking points that cover capabilities, limitations, biases, privacy, and pedagogical impact. Anticipate pushback.",60 min,"A discussion guide with: framing question, 3–4 key talking points with evidence, anticipated objections with responses, and a proposed next step for the group.","1, 2, 5, 6"
11,Use AI creatively,New → Foundational,The Unexpected Prompt,"Take a routine task in your work (e.g., writing a meeting agenda) and ask an AI to do it in an unexpected way: as a choose-your-own-adventure, as a poem, as a set of interview questions. See what happens when you give AI creative latitude.",20 min,The unexpected output and a reflection: was any part of it actually useful? Did it spark an idea you wouldn't have had otherwise?,7
11,Use AI creatively,Foundational → Intermediate,Reimagine an Assignment,Take one existing assignment from a course you teach or support. Use AI to generate 3 creative alternative versions that accomplish the same learning objective in a completely different way. At least one should use AI as a student-facing tool.,40 min,"The original assignment, the 3 alternatives, and your evaluation: which one would you actually pilot, and what would you need to change to make it work?",7
11,Use AI creatively,Intermediate → Advanced,Design a Novel AI Learning Experience,"Create an entirely new learning activity that couldn't exist without AI — not a traditional assignment with AI bolted on, but something where AI is structurally essential. Examples: students interrogating an AI character, using AI to generate wrong answers students must fix, or having AI play the role of a demanding client.",75 min,"A complete activity description: learning objective, how AI is used, student instructions, what the ID needs to build, evaluation criteria, and a note on what could go wrong.","7, 8"
12,"Balance curiosity, care, clarity, intentionality",New → Foundational,My AI Decision Journal,"For one work week, keep a simple log every time you consider using AI: What was the task? Did you use AI? Why or why not? At the end of the week, look for patterns.",5 min/day for 5 days,A 5-day log with entries and a short end-of-week reflection on what you noticed about your own decision-making.,6
12,"Balance curiosity, care, clarity, intentionality",Foundational → Intermediate,The Decision Framework Draft,Write a personal decision framework for when you will and won't use AI: What factors do you consider? Where's the line between 'helpful shortcut' and 'I should do this myself'? Include at least one ethical consideration and one practical one.,30 min,"A one-page personal decision framework with 4–6 criteria, examples for each, and a note on what you're still uncertain about.",6
12,"Balance curiosity, care, clarity, intentionality",Intermediate → Advanced,Principled Innovation Case Study,"Apply ASU's Principled Innovation framework to a real AI use case in your work: map the stakeholders, identify tensions between curiosity and care, articulate where intentionality matters most, and propose a path forward. Present it to a colleague for feedback.",60 min,"A structured case study: context, stakeholders, Principled Innovation analysis (curiosity / care / clarity / intentionality), tensions identified, proposed approach, colleague feedback notes.",6
13,Stay current with reliable resources,New → Foundational,Build Your Starter Kit,"Find and bookmark 3 reliable sources for AI in education: one institutional (ASU's AI hub), one practitioner/researcher, and one tool-focused. Read one item from each this week.",25 min,A list of 3 bookmarked sources with a sentence on what each one is good for and one takeaway from your initial reading.,10
