ID,Source,Topic,Summary,Learning Level,Direct Link,Leveling Rationale
1,PDF,Traditional AI vs Generative AI,"Traditional AI perceives/reasons/acts (pattern recognition, decision-making); GenAI generates new content (text, image, code).",Foundational,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Definitional comparison
2,PDF,Four Layers of AI Evolution,AI → Machine Learning → Deep Learning → Generative AI; each layer builds on the previous.,Foundational,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Hierarchy/definitions
3,PDF,Tokenization: how GenAI works,"Model splits prompt into tokens, predicts next most likely token, repeats until done.",Intermediate,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Mechanistic concept
4,PDF,Key mindset shift: probability engine,"GenAI predicts tokens, not concepts; your role shifts from creator to QA; hallucinations are a feature of how it works.",Intermediate,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Conceptual reframing with implications
5,PDF,Input quality = output quality,Treat every prompt as an instruction set; specificity drives output quality.,Foundational,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Foundational principle
6,PDF,Zero-Shot Prompting,"Direct, single instruction with no examples or context. Best for general knowledge and quick answers.",Foundational,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Definition + use
7,PDF,Few-Shot Prompting,"Provide context, examples, or prior info to shape responses. Should be ~80% of your prompting.",Intermediate,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Applied technique
8,PDF,Retrieval-Augmented Generation (RAG),"Ground responses by providing a specific source URL, document, or data. Process: Query → Retrieve → Augment → Generate.",Advanced,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Advanced technique with process
9,PDF,Chain of Thought,Ask the AI to walk through each logical step in its reasoning before reaching a conclusion.,Intermediate,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Technique for sequential tasks
10,PDF,Tree of Thought,Generate multiple distinct reasoning paths or options simultaneously for comparison.,Advanced,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Advanced strategic technique
