ID,Source,Topic,Summary,Learning Level,Direct Link,Leveling Rationale
1,Articulate Rise,Module 1: Fundamentals of Generative AI – Overview – Fundamentals of Generative AI,Section overview introducing the fundamentals lesson.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XiDuial6n3OEWUwXuc4n5UiKh0Wbhb-S,Intro/overview
2,Articulate Rise,Module 1: Fundamentals of Generative AI – Generative AI and the Future,How GenAI is shaping the future of work and learning.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/-mfiuOlF03nEpXfGjYfrpDZJL4RzGHIA,Awareness/forward-looking framing
3,Articulate Rise,Module 1: Fundamentals of Generative AI – Equipping future generations: AI's past,Historical context for AI to inform how we prepare students.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/y3iY6ZxEWGCmwZeq7m_UgTO4NiW5-gK8,Historical overview
4,Articulate Rise,Module 1: Fundamentals of Generative AI – Using GenAI models in the present,Practical look at how GenAI is being used today.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/hdHtteK1L3V5YpD6c2uHlDzli8sPId-u,Current applied use
5,Articulate Rise,Module 1: Fundamentals of Generative AI – The value of generative AI,Why GenAI matters; benefits to learners and educators.,Foundational,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/_JUEDXqbtW3zJB6i7mWkFF3uDOOmalas,Conceptual benefits
6,Articulate Rise,Module 1: Fundamentals of Generative AI – How GenAI is impacting industries,Cross-industry examples of GenAI impact.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XriKI34PBIb_lMmdpfp1PpSYGgPPIXV5,Applied multi-context
7,Articulate Rise,Module 1: Fundamentals of Generative AI – Experimenting with GenAI at ASU,ASU-specific entry points for trying GenAI.,Intermediate,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/J4bNGWxtic5oznXuy5BC_gwfhfAMsE1A,Local applied practice
8,Articulate Rise,Module 2: Awareness of GenAI Applications – Overview – Awareness of GenAI Applications,Section overview introducing the applications lesson.,Foundational,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/ckakMVSzSSlFLreJ2_NLWuIR9I2NhDm9,Overview
9,Articulate Rise,Module 2: Awareness of GenAI Applications – Do you know what AI can do?,Survey of GenAI capabilities to calibrate expectations.,Foundational,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/_3dr-VqskB18C8sq3TPuSG2e-zUIxdTC,Capability awareness
10,Articulate Rise,Module 2: Awareness of GenAI Applications – AI applications in industry,How different industries are deploying AI applications.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/dI6UEfZmRlPYiX7hDJikyGLP1ZgMwBCm,Applied multi-context
