Bloom Phase,Phase Name,Bloom Level,Seq,Maynard Skill(s),Primary Skill Name,Item,Learning Level,Modality,Source,Direct Link,Purpose for the Learner,Specific Location,Original Phase,Status
0,Welcome & Orient,Pre-phase,1,13,Stay current with reliable resources,About this course,Foundational,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/about-this-course,Understand what this course is and who it's for.,Canvas page: about-this-course,0. Welcome & orient,Existing
0,Welcome & Orient,Pre-phase,2,13,Stay current with reliable resources,How to use this course,Foundational,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/how-to-use-this-course,"Learn how to navigate Knowledge Checks, Guided Practice, and Create-an-Artifact activities.",Canvas page: how-to-use-this-course,0. Welcome & orient,Existing
0,Welcome & Orient,Pre-phase,3,"11, 13",Use AI creatively / Stay current,AI Creative Learning Lab — Overview,Foundational,Hub page,LX ASU AI,https://lx.asu.edu/ai,See ASU's broader AI ecosystem and where this course fits.,AI Creative Learning Lab overview page,0. Welcome & orient,Existing
0,Welcome & Orient,Pre-phase,4,13,Stay current with reliable resources,Course Glossary of key terms,Foundational,Reference,Canvas,https://canvas.asu.edu/courses/157584/pages/look-up-key-terms-in-the-course-glossary-2,Bookmark vocabulary for lookup throughout the course.,Canvas page: look-up-key-terms-in-the-course-glossary-2,0. Welcome & orient,Existing
1,Understand the Landscape,Remember / Understand,1,10,Discuss AI possibilities & limitations,Intro to Generative AI (video),Foundational,Video,LX ASU AI,https://lx.asu.edu/ai/foundations,First exposure — a short narrated video that demystifies GenAI.,"Foundations page, 'Intro to Generative AI' section; Video: https://www.youtube.com/watch?v=gqoi5jme188",1. What is GenAI?,Existing
1,Understand the Landscape,Remember / Understand,2,10,Discuss AI possibilities & limitations,Module 1: Fundamentals of Generative AI — Overview,Foundational,Interactive lesson,Articulate Rise,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/XiDuial6n3OEWUwXuc4n5UiKh0Wbhb-S,Walk through the Fundamentals lesson with inline activities.,"Module 1: Fundamentals of Generative AI, section: Overview",1. What is GenAI?,Existing
1,Understand the Landscape,Remember / Understand,3,10,Discuss AI possibilities & limitations,Traditional AI vs Generative AI,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,"Crisp written contrast: traditional AI perceives/reasons, GenAI generates.",PDF page 1,1. What is GenAI?,Existing
1,Understand the Landscape,Remember / Understand,4,10,Discuss AI possibilities & limitations,Four Layers of AI Evolution,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Place GenAI in context: AI → ML → Deep Learning → GenAI.,PDF page 1,1. What is GenAI?,Existing
1,Understand the Landscape,Remember / Understand,5,10,Discuss AI possibilities & limitations,Module 1: The value of generative AI,Foundational,Lesson section,Articulate Rise,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/_JUEDXqbtW3zJB6i7mWkFF3uDOOmalas,Why GenAI matters for educators — relevance and motivation.,"Module 1: Fundamentals of Generative AI, section: The value of generative AI",1. What is GenAI?,Existing
1,Understand the Landscape,Remember / Understand,6,"5, 10",Discuss AI possibilities & limitations,Faculty panel: voices on GenAI in teaching,Foundational,Video stories,Canvas,https://canvas.asu.edu/courses/157584/pages/meet-our-panel,Hear ASU faculty describe how they're using GenAI.,Canvas page: meet-our-panel,1. What is GenAI?,Existing
